orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,November 2025 OPD Attendance <5yrs Female,November 2025 OPD Attendance <5yrs Male,November 2025 OPD attendance >5yrs Female,November 2025 OPD attendance >5yrs Male
Kenya,Bungoma County,Sirisia Sub County,Malakisi/South Kulisiru Ward,A.C.K Butonge Dispensary,lNOoLAelIzT,A.C.K Butonge Dispensary,15837,,3,4,12,8
Kenya,Uasin Gishu County,Kesses Sub County,Cheptiret/Kipchamo Ward,Abigael Health Care Centre,uZSv4cAhOch,Abigael Health Care Centre,24008,,,,,
Kenya,Muranga County,Kandara Sub County,Gaichanjiru Ward,Acc&S Kariua Dispensary,gqkS0qU9tfi,Acc&S Kariua Dispensary,18965,,,,,
Kenya,Kiambu County,Kikuyu Sub County,Kikuyu Ward,ACK Emmanuel Mission Hospital,dbsaPexO6qS,ACK Emmanuel Mission Hospital,24590,,,,,
Kenya,Kiambu County,Kiambu Town Sub County,Ndumberi Ward,ACK Kanunga Dispensary,HAXZM3YNUmN,ACK Kanunga Dispensary,17980,,,,,
Kenya,Kirinyaga County,Kirinyaga West Sub County,Mukure Ward,ACK Kiamagunyi Dispensary,mVtojGpCXoF,ACK Kiamagunyi Dispensary,10531,,,,,
Kenya,Kirinyaga County,Kirinyaga South Sub County,Tebere Ward,ACK MT Kenya Hospital (Mwea),r9Nw0PyLOZD,ACK MT Kenya Hospital (Mwea),10093,,201,160,237,194
Kenya,Narok County,Narok East Sub County,Mosiro Ward,ACK Nturumeti Dispensary,whQyfhyCoEB,ACK Nturumeti Dispensary,15369,,3,8,8,2
Kenya,Nairobi County,Dagoretti North Sub County,Kilimani Ward,Adventist Centre for Care and Support,ZjnMNXqHnuD,Adventist Centre for Care and Support,18535,,,,,
Kenya,Narok County,Narok West Sub County,Siana Ward,AGC Ngoswani Lions Hospital,nrf3kj2jO5f,AGC Ngoswani Lions Hospital,25618,,20,17,217,200
Kenya,Kericho County,Ainamoi Sub County,Kipchebor Ward,AIC Litein Hospital- Kericho Annex Clinic,htFOWkUptpZ,AIC Litein Hospital- Kericho Annex Clinic,27297,,,,,
Kenya,Kericho County,Bureti Sub County,Litein Ward,AIC Litein Mission Hospital,AawtXdUefwb,AIC Litein Mission Hospital,14178,,,,,
Kenya,Makueni County,Kilome Sub County,Mukaa Ward,AIC Mukaa Dispensary,zE0WqGd3i1R,AIC Mukaa Dispensary,12558,,10,8,33,49
Kenya,Muranga County,Kigumo Sub County,Kinyona Ward,AIC MUNUNGA DISPENSARY,ZL2Sbfnbu6r,AIC MUNUNGA DISPENSARY,20071,,,,,
Kenya,Nairobi County,Mathare Sub County,Mabatini Ward,AIC Zion Medical clinic,BpS9tG9DBVF,AIC Zion Medical clinic,20388,,,,,
Kenya,West Pokot County,Pokot North Sub County,Alale Ward,Alale (AIC) Health Centre,SkWeQkXKTzL,Alale (AIC) Health Centre,14196,,49,55,70,27
Kenya,Kirinyaga County,Kirinyaga Central Sub County,Kerugoya Ward,Anglican Development Services(Kerugoya),FAWBdzlc7d0,Anglican Development Services(Kerugoya),10092,,,,15,3
Kenya,Bungoma County,Tongaren Sub County,Soysambu/Mitua Ward,ARC Waraba Medica Centre,DoApIYf90N9,ARC Waraba Medica Centre,20791,,105,98,159,139
Kenya,Homa Bay County,Rachuonyo East Sub County,Kojwach Ward,Atemo Health Centre,bxtsV3tmxZi,Atemo Health Centre,13489,,32,29,85,78
Kenya,Nandi County,Chesumei Sub County,Chemundu/Kapng'etunyi Ward,Baraton Jeremic Community Medical Centre,jtPbG69vznB,Baraton Jeremic Community Medical Centre,14232,,18,8,261,194
Kenya,Kericho County,Kipkelion East Sub County,Londiani Ward,Barotion (AIC) Dispensary,RmqDWK6KpK3,Barotion (AIC) Dispensary,14234,,13,22,65,39
Kenya,Kiambu County,Lari Sub County,Kijabe Ward,Bathi Faith (ACK) Medical Clinic,kysmMGHHdFn,Bathi Faith (ACK) Medical Clinic,10050,,,,,
Kenya,Kajiado County,Kajiado North Sub County,Nkaimurunya Ward,Beacon of Hope Clinic (Ongata Rongai),vG1iOKniT2c,Beacon of Hope Clinic (Ongata Rongai),16667,,54,54,360,254
Kenya,Homa Bay County,Rachuonyo South Sub County,West Kasipul Ward,Beril's GWP Medical centre,wF4m03C8BPG,Beril's GWP Medical centre,26205,,8,17,81,56
Kenya,Kiambu County,Limuru Sub County,Bibirioni Ward,Bibirioni Health Centre,mk85MsanAIc,Bibirioni Health Centre,19602,,,,,
Kenya,Bomet County,Bomet Central Sub County,Silibwet Township Ward,Bomet Youth centre,dYOS1su87Zt,Bomet Youth centre,19939,,,,,
Kenya,Vihiga County,Hamisi Sub County,Tambua Ward,Boyani Dispensary,Yk6aPsR7nng,Boyani Dispensary,15809,,8,7,48,37
Kenya,Busia County,Butula Sub County,Marachi West Ward,Bujumba Mission Dispensary,f6lzICIxrKU,Bujumba Mission Dispensary,15816,,2,5,11,4
Kenya,Kakamega County,Khwisero Sub County,Kisa Central Ward,Bukwala SDA Dispensary,fdNMsyXhBZ8,Bukwala SDA Dispensary,18315,,,,,
Kenya,Kakamega County,Ikolomani Sub County,Idakho Central Ward,Bushiangala Health Centre,rog82qbp7Oh,Bushiangala Health Centre,15832,,1,,3,1
Kenya,Nairobi County,Makadara Sub County,Viwandani Ward,Cana Family Life Clinic,Ch9QLIX4Lv4,Cana Family Life Clinic,12889,,19,16,65,65
Kenya,Nakuru County,Naivasha Sub County,Mai Mahiu Ward,Canaan (ACK) Medical Clinic,h91Cqr2TTdS,Canaan (ACK) Medical Clinic,14279,,,,,
Kenya,Kiambu County,Kiambaa Sub County,Ndenderu Ward,Cargo Human Care Clinic,GsgjuCbw1LE,Cargo Human Care Clinic,18006,,96,179,1740,695
Kenya,Nairobi County,Kasarani Sub County,Ruai Ward,Cascade of Hope Health Care,o5gKwnxxShA,Cascade of Hope Health Care,25152,,68,63,158,71
Kenya,Uasin Gishu County,Turbo Sub County,Ngenyilel Ward,Chebaiwa Dispensary,lHpP2pEFSAC,Chebaiwa Dispensary,14288,,,,,
Kenya,Kakamega County,Malava Sub County,Butali/Chegulo Ward,Chebwai Mission Dispensary,JTL8OVhlUqF,Chebwai Mission Dispensary,15849,,,,,
Kenya,Busia County,Teso North Sub County,Ang'urai East Ward,Chemasiri (ACK) Dispensary,kII3f5Evi8M,Chemasiri (ACK) Dispensary,15853,,,,,
Kenya,West Pokot County,Kipkomo Sub County,Chepareria Ward,Chepareria (SDA) Dispensary,lKpXR0GzrAD,Chepareria (SDA) Dispensary,14329,,20,18,90,61
Kenya,West Pokot County,West Pokot Sub County,Sook Ward,Chepnyal Dispensary,IB4zzLIkHFT,Chepnyal Dispensary,14356,,59,45,59,42
Kenya,Nakuru County,Rongai Sub County,Soin Ward,Cheppemma (AIC) Dispensary,a2LNlmcJ7IF,Cheppemma (AIC) Dispensary,14357,,,,,
Kenya,Bungoma County,Cheptais Sub County,Chesikaki Ward,Cheptais Medical Clinic,NkutiPnLK1M,Cheptais Medical Clinic,18891,,,,,
Kenya,Kericho County,Kipkelion East Sub County,Chepseon Ward,Chesinende (Elck) Dispensary,sIkxI1RwQvs,Chesinende (Elck) Dispensary,14382,,,,,
Kenya,West Pokot County,Pokot Central Sub County,Lomut Ward,Chesta Dispensary,gldtQG24s2F,Chesta Dispensary,14387,,25,20,64,35
Kenya,Tharaka Nithi County,Chuka Sub County,Karingani Ward,Chogoria Hospital Chuka Medical Center,WlzF2rt1FRJ,Chogoria Hospital Chuka Medical Center,22364,,97,31,915,305
Kenya,Nairobi County,Makadara Sub County,Maringo/Hamza Ward,Church Army Medical Clinic,qEFntaDExdm,Church Army Medical Clinic,18795,,,,,
Kenya,Baringo County,Tiaty East Sub County,Churo/Amaya Ward,Churo Dispensary,JNMSLmAAn4F,Churo Dispensary,14392,,60,50,90,60
Kenya,Bungoma County,Sirisia Sub County,Namwela Ward,Chwele Friends Dispensary,fUo2NrKCikw,Chwele Friends Dispensary,15861,,13,10,41,28
Kenya,Narok County,Narok West Sub County,Mara Ward,Cmf Aitong Health Centre,ZLKeFpFXbAQ,Cmf Aitong Health Centre,14394,,14,16,89,75
Kenya,Nairobi County,Kasarani Sub County,Njiru Ward,Conerstone Clinic,WFKNCWeofxP,Conerstone Clinic,12903,,9,7,38,18
Kenya,Kiambu County,Kabete Sub County,Gitaru Ward,Cura (ACK) Medical Clinic,UaGbgsZQ1M8,Cura (ACK) Medical Clinic,10102,,19,35,52,32
