COUNTY,Sub_couty,Facility Name,HTS Positive,Linkage,% VL Uptake,% VL Suppression,%IIT,TX_NEW,TX_NEW CD4,CD4 Uptake,TPT,TPT Uptake
Embu,Manyatta,Dallas Dispensary,28,114%,83%,95%,3.9%,32,3,9%,7,22%
Embu,Manyatta,Embu Children Clinic,7,143%,82%,94%,3.4%,10,0,0%,0,0%
Embu,Manyatta,Embu Provincial General Hospital,215,106%,86%,98%,2.2%,227,73,32%,51,22%
Embu,Manyatta,Gatunduri Dispensary,4,0%,0%,0%,,0,0,0%,0,0%
Embu,Manyatta,Getrude Dispensary,4,0%,0%,0%,,0,0,0%,0,0%
Embu,Manyatta,Kairuri Health Centre,13,138%,79%,94%,1.4%,18,2,11%,4,22%
Embu,Manyatta,Karau Health Centre,7,86%,53%,97%,3.5%,6,0,0%,0,0%
Embu,Manyatta,Kibugu Health Centre,18,111%,74%,96%,1.7%,20,1,5%,7,35%
Embu,Manyatta,Kithegi Dispensary,5,40%,,0%,,2,0,0%,0,0%
Embu,Manyatta,Kithimu Dispensary,14,100%,79%,96%,5.3%,14,1,7%,2,14%
Embu,Manyatta,Makengi Dispensary (Embu),9,89%,71%,96%,4.3%,8,0,0%,1,13%
Embu,Manyatta,Nembure Health Centre,23,135%,73%,96%,2.6%,31,2,6%,7,23%
Embu,Manyatta,Rukira Dispensary,5,0%,0%,0%,,0,0,0%,0,0%
Embu,Mbeere North,Ishiara Sub-District Hospital,43,121%,82%,97%,0.7%,52,26,50%,36,69%
Embu,Mbeere North,Kamumu Dispensary,1,200%,81%,91%,2.2%,2,1,50%,0,0%
Embu,Mbeere North,Kanyuambora Dispensary,1,300%,59%,94%,2.3%,3,0,0%,0,0%
Embu,Mbeere North,Kathanje Dispensary,3,100%,91%,96%,6.3%,3,0,0%,0,0%
Embu,Mbeere North,Kiambere Dam Dispensary,20,135%,77%,94%,0.4%,27,7,26%,10,37%
Embu,Mbeere North,Kirie Dispensary,1,400%,83%,96%,4.6%,4,1,25%,0,0%
Embu,Mbeere North,Mbeere District Hospital,39,141%,82%,97%,1.1%,55,26,47%,26,47%
Embu,Mbeere South,CCS Kiritiri Clinic,2,0%,0%,0%,,0,0,0%,0,0%
Embu,Mbeere South,Gachuriri Dispensary,8,100%,86%,87%,4.6%,8,1,13%,5,63%
Embu,Mbeere South,Kiambere Health Centre,6,83%,62%,96%,7.2%,5,0,0%,1,20%
Embu,Mbeere South,Kiamuringa Dispensary,14,107%,77%,90%,2.3%,15,3,20%,6,40%
Embu,Mbeere South,Kiritiri Health Centre,48,146%,79%,96%,1.2%,70,22,31%,34,49%
Embu,Mbeere South,Liviero Dispensary,3,0%,0%,0%,,0,0,0%,0,0%
Embu,Mbeere South,Machang'a Dispensary,2,50%,,0%,,1,0,0%,0,0%
Embu,Mbeere South,Nganduri Dispensary,9,100%,86%,95%,2.4%,9,2,22%,3,33%
Embu,Mbeere South,Riachina Dispensary,2,0%,0%,0%,,0,0,0%,0,0%
Embu,Mbeere South,Rwika Dispensary,9,11%,67%,100%,,1,1,100%,0,0%
Embu,Mwea,Gategi Health Centre,19,121%,57%,96%,2.3%,23,3,13%,13,57%
Embu,Mwea,Karaba Wango Dispensary,1,0%,0%,0%,,0,0,0%,0,0%
Embu,Mwea,Makima Dispensary,8,100%,78%,93%,2.0%,8,0,0%,2,25%
Embu,Mwea,Mbonzuki Dispensary,1,0%,0%,0%,,0,0,0%,0,0%
Embu,Mwea,Wachoro Dispensary,5,160%,56%,90%,3.8%,8,0,0%,2,25%
Embu,Runyenjes,Acef Ena Health Centre,21,133%,85%,97%,1.5%,28,12,43%,16,57%
Embu,Runyenjes,Gichiche Dispensary,1,0%,0%,0%,,0,0,0%,0,0%
Embu,Runyenjes,Kanja Health Centre,6,150%,85%,95%,1.7%,9,3,33%,5,56%
Embu,Runyenjes,Karurumo Rhtc,28,118%,82%,97%,2.0%,33,26,79%,12,36%
Embu,Runyenjes,Kathunguri Dispensary,4,50%,,0%,,2,0,0%,0,0%
Embu,Runyenjes,Kianjokoma Sub-District Hospital,36,100%,85%,98%,1.3%,36,16,44%,11,31%
Embu,Runyenjes,Kigaa Dispensary,0,0%,0%,0%,,0,0,0%,0,0%
Embu,Runyenjes,Kigumo Dispensary,10,100%,74%,95%,1.2%,10,0,0%,1,10%
Embu,Runyenjes,Mufu Dispensary,1,100%,29%,100%,,1,0,0%,0,0%
Embu,Runyenjes,Nthagaiya Catholic Dispensary,3,67%,56%,99%,2.3%,2,0,0%,1,50%
Embu,Runyenjes,Runyenjes District Hospital,50,158%,80%,96%,1.2%,79,49,62%,22,28%
Embu,Runyenjes,St Michael Nursing Home,1,0%,0%,0%,,0,0,0%,0,0%
Embu,Runyenjes,Ugweri Disp,16,44%,71%,88%,5.6%,7,2,29%,6,86%
