County,Owner type,Owner,Name,Service Type,Year,Sum of Value
West Pokot,Private Practice,Private Practice- Pharmacist,Dm Clinic,IPD,2022,0
West Pokot,Private Practice,Private Practice- Pharmacist,Dm Clinic,IPD,2023,0
West Pokot,Private Practice,Private Practice- Pharmacist,Dm Clinic,IPD,2024,0
West Pokot,Private Practice,Private Practice- Pharmacist,Dm Clinic,IPD,2025,0
West Pokot,Private Practice,Private Practice- Pharmacist,Dm Clinic,IPD,2026,0
West Pokot,Private Practice,Private Practice- Pharmacist,Dm Clinic,MCH_CWC,2022,0
West Pokot,Private Practice,Private Practice- Pharmacist,Dm Clinic,MCH_CWC,2023,0
West Pokot,Private Practice,Private Practice- Pharmacist,Dm Clinic,MCH_CWC,2024,0
West Pokot,Private Practice,Private Practice- Pharmacist,Dm Clinic,MCH_CWC,2025,0
West Pokot,Private Practice,Private Practice- Pharmacist,Dm Clinic,MCH_CWC,2026,0
West Pokot,Private Practice,Private Practice- Pharmacist,Dm Clinic,OPD,2022,0
West Pokot,Private Practice,Private Practice- Pharmacist,Dm Clinic,OPD,2023,0
West Pokot,Private Practice,Private Practice- Pharmacist,Dm Clinic,OPD,2024,0
West Pokot,Private Practice,Private Practice- Pharmacist,Dm Clinic,OPD,2025,0
West Pokot,Private Practice,Private Practice- Pharmacist,Dm Clinic,OPD,2026,0
West Pokot,Private Practice,Private Practice - Private Institution Academic,KenGen Staff Clinic,IPD,2022,0
West Pokot,Private Practice,Private Practice - Private Institution Academic,KenGen Staff Clinic,IPD,2023,0
West Pokot,Private Practice,Private Practice - Private Institution Academic,KenGen Staff Clinic,IPD,2024,0
West Pokot,Private Practice,Private Practice - Private Institution Academic,KenGen Staff Clinic,IPD,2025,0
West Pokot,Private Practice,Private Practice - Private Institution Academic,KenGen Staff Clinic,IPD,2026,0
West Pokot,Private Practice,Private Practice - Private Institution Academic,KenGen Staff Clinic,MCH_CWC,2022,0
West Pokot,Private Practice,Private Practice - Private Institution Academic,KenGen Staff Clinic,MCH_CWC,2023,0
West Pokot,Private Practice,Private Practice - Private Institution Academic,KenGen Staff Clinic,MCH_CWC,2024,0
West Pokot,Private Practice,Private Practice - Private Institution Academic,KenGen Staff Clinic,MCH_CWC,2025,0
West Pokot,Private Practice,Private Practice - Private Institution Academic,KenGen Staff Clinic,MCH_CWC,2026,0
West Pokot,Private Practice,Private Practice - Private Institution Academic,KenGen Staff Clinic,OPD,2022,0
West Pokot,Private Practice,Private Practice - Private Institution Academic,KenGen Staff Clinic,OPD,2023,0
West Pokot,Private Practice,Private Practice - Private Institution Academic,KenGen Staff Clinic,OPD,2024,0
West Pokot,Private Practice,Private Practice - Private Institution Academic,KenGen Staff Clinic,OPD,2025,0
West Pokot,Private Practice,Private Practice - Private Institution Academic,KenGen Staff Clinic,OPD,2026,0
West Pokot,Private Practice,Private Practice - Private Company,Bliss Gvs Healthcare (Kapenguria),IPD,2022,0
West Pokot,Private Practice,Private Practice - Private Company,Bliss Gvs Healthcare (Kapenguria),IPD,2023,0
West Pokot,Private Practice,Private Practice - Private Company,Bliss Gvs Healthcare (Kapenguria),IPD,2024,0
West Pokot,Private Practice,Private Practice - Private Company,Bliss Gvs Healthcare (Kapenguria),IPD,2025,0
West Pokot,Private Practice,Private Practice - Private Company,Bliss Gvs Healthcare (Kapenguria),IPD,2026,0
West Pokot,Private Practice,Private Practice - Private Company,Bliss Gvs Healthcare (Kapenguria),MCH_CWC,2022,137
West Pokot,Private Practice,Private Practice - Private Company,Bliss Gvs Healthcare (Kapenguria),MCH_CWC,2023,196
West Pokot,Private Practice,Private Practice - Private Company,Bliss Gvs Healthcare (Kapenguria),MCH_CWC,2024,183
West Pokot,Private Practice,Private Practice - Private Company,Bliss Gvs Healthcare (Kapenguria),MCH_CWC,2025,163
West Pokot,Private Practice,Private Practice - Private Company,Bliss Gvs Healthcare (Kapenguria),MCH_CWC,2026,34
West Pokot,Private Practice,Private Practice - Private Company,Bliss Gvs Healthcare (Kapenguria),OPD,2022,13663
West Pokot,Private Practice,Private Practice - Private Company,Bliss Gvs Healthcare (Kapenguria),OPD,2023,19795
West Pokot,Private Practice,Private Practice - Private Company,Bliss Gvs Healthcare (Kapenguria),OPD,2024,16050
West Pokot,Private Practice,Private Practice - Private Company,Bliss Gvs Healthcare (Kapenguria),OPD,2025,12007
West Pokot,Private Practice,Private Practice - Private Company,Bliss Gvs Healthcare (Kapenguria),OPD,2026,6005
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Siloam Medical Clinic ( Pokot Central),IPD,2022,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Siloam Medical Clinic ( Pokot Central),IPD,2023,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Siloam Medical Clinic ( Pokot Central),IPD,2024,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Siloam Medical Clinic ( Pokot Central),IPD,2025,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Siloam Medical Clinic ( Pokot Central),IPD,2026,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Siloam Medical Clinic ( Pokot Central),MCH_CWC,2022,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Siloam Medical Clinic ( Pokot Central),MCH_CWC,2023,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Siloam Medical Clinic ( Pokot Central),MCH_CWC,2024,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Siloam Medical Clinic ( Pokot Central),MCH_CWC,2025,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Siloam Medical Clinic ( Pokot Central),MCH_CWC,2026,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Siloam Medical Clinic ( Pokot Central),OPD,2022,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Siloam Medical Clinic ( Pokot Central),OPD,2023,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Siloam Medical Clinic ( Pokot Central),OPD,2024,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Siloam Medical Clinic ( Pokot Central),OPD,2025,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Siloam Medical Clinic ( Pokot Central),OPD,2026,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Orwa Clinic,IPD,2022,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Orwa Clinic,IPD,2023,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Orwa Clinic,IPD,2024,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Orwa Clinic,IPD,2025,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Orwa Clinic,IPD,2026,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Orwa Clinic,MCH_CWC,2022,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Orwa Clinic,MCH_CWC,2023,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Orwa Clinic,MCH_CWC,2024,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Orwa Clinic,MCH_CWC,2025,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Orwa Clinic,MCH_CWC,2026,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Orwa Clinic,OPD,2022,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Orwa Clinic,OPD,2023,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Orwa Clinic,OPD,2024,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Orwa Clinic,OPD,2025,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Orwa Clinic,OPD,2026,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Murpus Medical Clinic,IPD,2022,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Murpus Medical Clinic,IPD,2023,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Murpus Medical Clinic,IPD,2024,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Murpus Medical Clinic,IPD,2025,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Murpus Medical Clinic,IPD,2026,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Murpus Medical Clinic,MCH_CWC,2022,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Murpus Medical Clinic,MCH_CWC,2023,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Murpus Medical Clinic,MCH_CWC,2024,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Murpus Medical Clinic,MCH_CWC,2025,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Murpus Medical Clinic,MCH_CWC,2026,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Murpus Medical Clinic,OPD,2022,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Murpus Medical Clinic,OPD,2023,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Murpus Medical Clinic,OPD,2024,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Murpus Medical Clinic,OPD,2025,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Murpus Medical Clinic,OPD,2026,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Kaplelach Clinic,IPD,2022,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Kaplelach Clinic,IPD,2023,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Kaplelach Clinic,IPD,2024,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Kaplelach Clinic,IPD,2025,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Kaplelach Clinic,IPD,2026,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Kaplelach Clinic,MCH_CWC,2022,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Kaplelach Clinic,MCH_CWC,2023,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Kaplelach Clinic,MCH_CWC,2024,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Kaplelach Clinic,MCH_CWC,2025,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Kaplelach Clinic,MCH_CWC,2026,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Kaplelach Clinic,OPD,2022,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Kaplelach Clinic,OPD,2023,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Kaplelach Clinic,OPD,2024,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Kaplelach Clinic,OPD,2025,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Kaplelach Clinic,OPD,2026,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Highway Medical Clinic (Pokot Central),IPD,2022,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Highway Medical Clinic (Pokot Central),IPD,2023,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Highway Medical Clinic (Pokot Central),IPD,2024,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Highway Medical Clinic (Pokot Central),IPD,2025,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Highway Medical Clinic (Pokot Central),IPD,2026,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Highway Medical Clinic (Pokot Central),MCH_CWC,2022,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Highway Medical Clinic (Pokot Central),MCH_CWC,2023,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Highway Medical Clinic (Pokot Central),MCH_CWC,2024,0
