County,Owner type,Owner,Name,Service Type,Year,Sum of Value
Tharaka Nithi,Private Practice,Private Practice- Pharmacist,Makanyanga Claudia Shalom,IPD,2022,0
Tharaka Nithi,Private Practice,Private Practice- Pharmacist,Makanyanga Claudia Shalom,IPD,2023,0
Tharaka Nithi,Private Practice,Private Practice- Pharmacist,Makanyanga Claudia Shalom,IPD,2024,0
Tharaka Nithi,Private Practice,Private Practice- Pharmacist,Makanyanga Claudia Shalom,IPD,2025,0
Tharaka Nithi,Private Practice,Private Practice- Pharmacist,Makanyanga Claudia Shalom,IPD,2026,0
Tharaka Nithi,Private Practice,Private Practice- Pharmacist,Makanyanga Claudia Shalom,MCH_CWC,2022,0
Tharaka Nithi,Private Practice,Private Practice- Pharmacist,Makanyanga Claudia Shalom,MCH_CWC,2023,0
Tharaka Nithi,Private Practice,Private Practice- Pharmacist,Makanyanga Claudia Shalom,MCH_CWC,2024,0
Tharaka Nithi,Private Practice,Private Practice- Pharmacist,Makanyanga Claudia Shalom,MCH_CWC,2025,0
Tharaka Nithi,Private Practice,Private Practice- Pharmacist,Makanyanga Claudia Shalom,MCH_CWC,2026,0
Tharaka Nithi,Private Practice,Private Practice- Pharmacist,Makanyanga Claudia Shalom,OPD,2022,0
Tharaka Nithi,Private Practice,Private Practice- Pharmacist,Makanyanga Claudia Shalom,OPD,2023,0
Tharaka Nithi,Private Practice,Private Practice- Pharmacist,Makanyanga Claudia Shalom,OPD,2024,0
Tharaka Nithi,Private Practice,Private Practice- Pharmacist,Makanyanga Claudia Shalom,OPD,2025,0
Tharaka Nithi,Private Practice,Private Practice- Pharmacist,Makanyanga Claudia Shalom,OPD,2026,0
Tharaka Nithi,Private Practice,Private Practice Lab Technician/Technologist,Marima Healthcare LTD,IPD,2022,0
Tharaka Nithi,Private Practice,Private Practice Lab Technician/Technologist,Marima Healthcare LTD,IPD,2023,0
Tharaka Nithi,Private Practice,Private Practice Lab Technician/Technologist,Marima Healthcare LTD,IPD,2024,0
Tharaka Nithi,Private Practice,Private Practice Lab Technician/Technologist,Marima Healthcare LTD,IPD,2025,0
Tharaka Nithi,Private Practice,Private Practice Lab Technician/Technologist,Marima Healthcare LTD,IPD,2026,0
Tharaka Nithi,Private Practice,Private Practice Lab Technician/Technologist,Marima Healthcare LTD,MCH_CWC,2022,0
Tharaka Nithi,Private Practice,Private Practice Lab Technician/Technologist,Marima Healthcare LTD,MCH_CWC,2023,0
Tharaka Nithi,Private Practice,Private Practice Lab Technician/Technologist,Marima Healthcare LTD,MCH_CWC,2024,0
Tharaka Nithi,Private Practice,Private Practice Lab Technician/Technologist,Marima Healthcare LTD,MCH_CWC,2025,0
Tharaka Nithi,Private Practice,Private Practice Lab Technician/Technologist,Marima Healthcare LTD,MCH_CWC,2026,0
Tharaka Nithi,Private Practice,Private Practice Lab Technician/Technologist,Marima Healthcare LTD,OPD,2022,262
Tharaka Nithi,Private Practice,Private Practice Lab Technician/Technologist,Marima Healthcare LTD,OPD,2023,220
Tharaka Nithi,Private Practice,Private Practice Lab Technician/Technologist,Marima Healthcare LTD,OPD,2024,186
Tharaka Nithi,Private Practice,Private Practice Lab Technician/Technologist,Marima Healthcare LTD,OPD,2025,0
Tharaka Nithi,Private Practice,Private Practice Lab Technician/Technologist,Marima Healthcare LTD,OPD,2026,0
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Ushirika Medical Clinic Maara,IPD,2022,0
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Ushirika Medical Clinic Maara,IPD,2023,0
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Ushirika Medical Clinic Maara,IPD,2024,0
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Ushirika Medical Clinic Maara,IPD,2025,0
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Ushirika Medical Clinic Maara,IPD,2026,0
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Ushirika Medical Clinic Maara,MCH_CWC,2022,0
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Ushirika Medical Clinic Maara,MCH_CWC,2023,0
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Ushirika Medical Clinic Maara,MCH_CWC,2024,0
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Ushirika Medical Clinic Maara,MCH_CWC,2025,0
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Ushirika Medical Clinic Maara,MCH_CWC,2026,0
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Ushirika Medical Clinic Maara,OPD,2022,0
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Ushirika Medical Clinic Maara,OPD,2023,0
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Ushirika Medical Clinic Maara,OPD,2024,0
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Ushirika Medical Clinic Maara,OPD,2025,0
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Ushirika Medical Clinic Maara,OPD,2026,0
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Thuita Clinic,IPD,2022,0
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Thuita Clinic,IPD,2023,0
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Thuita Clinic,IPD,2024,0
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Thuita Clinic,IPD,2025,0
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Thuita Clinic,IPD,2026,0
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Thuita Clinic,MCH_CWC,2022,0
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Thuita Clinic,MCH_CWC,2023,0
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Thuita Clinic,MCH_CWC,2024,0
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Thuita Clinic,MCH_CWC,2025,0
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Thuita Clinic,MCH_CWC,2026,0
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Thuita Clinic,OPD,2022,0
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Thuita Clinic,OPD,2023,0
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Thuita Clinic,OPD,2024,0
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Thuita Clinic,OPD,2025,0
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Thuita Clinic,OPD,2026,0
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Thanantu Faith Clinic Dispensary,IPD,2022,0
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Thanantu Faith Clinic Dispensary,IPD,2023,0
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Thanantu Faith Clinic Dispensary,IPD,2024,0
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Thanantu Faith Clinic Dispensary,IPD,2025,0
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Thanantu Faith Clinic Dispensary,IPD,2026,0
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Thanantu Faith Clinic Dispensary,MCH_CWC,2022,2813
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Thanantu Faith Clinic Dispensary,MCH_CWC,2023,3242
Tharaka Nithi,Private Practice,Private Practice - Private Institution Academic,Thanantu Faith Clinic Dispensary,MCH_CWC,2024,3078
