name,id,level
10 Engineer VCT,Vh676wb3d16,5
12 Engineers,gPEGZGkfDWa,5
160325 - Homabay County Government ,XKmiQsqdWTQ,3
160326 - Migori CHMT,m8VCeVm1YXo,3
160327 - Nyeri CHMT,gMA5UvELsjN,3
160330 -CIHEB Imara,UAf8liMYpGW,3
160338 - CIHEB Connect,FZ1WAVL16YB,3
160344 - CIHEB Entrench,xiEGiwayRmo,3
16684 - Kenya Disciplined Services ZUIA,GyA8mA0rRPl,3
16687 - Kenya Prison Services,onMqWl5GcNX,3
18203 - EGPAF Timiza,THw7R0mZchB,3
18204 - UON CRISSP Plus,U12BeMpFcuB,3
18205 - UMB PACT Kamili,nNtjWSmxFkw,3
18206 - KCCB KARP,RxahaZaCwE5,3
18207 - Columbia STARS,GILxDpPsFBh,3
18208 - IRDO Tuungane 3,gLRDM0Er5RH,3
18209 - LVCT Daraja,YRgdX2YZ6G2,3
18215 - Coptic Hospitals,a44V9IA3t9j,3
18217 - Ngima for Sure,sNPlnVRIZoY,3
18504 - UMB Timiza,HnrWdVc4IVS,3
18505 - CHS Shinda,VdmUIChJEPr,3
18506 - UCSF Clinical Kisumu,qZlXs06PQoH,3
18507 - CHS Tegemeza Plus,GAmDJH2n0bR,3
18508 - CHS Naishi,JYnmVsr0ZRh,3
18509 - AMREF Nairobi Kitui,irIE1BIOtyD,3
18511 - CHAK CHAP Uzima,XhQB0c9pG0Q,3
18512 - UON COE Niche,jEQtskVLODk,3
18513 - LVCT Steps,uhWR8fDaWAW,3
18514 - HWWK Nairobi Eastern,gzQxuPzq5Kb,3
18515 - Faith-Based Sites in the Eastern Slums of Nairobi,nujX8mgCzya,3
18516 - Bomu Hospital Affiliated Sites,PZJ02Te1nb8,3
360 Health Care Centre,r96GaeVvrde,5
3Kl Maternity & Nursing Home,KZ8mcWp8Mmo,3
3Kr Health Centre,CgMmkS9jWI6,5
3PM-KenyaEMR Integration Test Site,Nnzv7OMKarf,3
4Ms Community Health Unit,GndpAyWp8in,5
78 Tank Battalion Dispensary,MgMyK9aTJ2C,5
7KR Mrs Health Centre,kMvyfZaFoq8,5
85742 - Coptic Orthodox Church,VXiD2ifnjpp,3
85743 - Mkomani Clinic Society (BOMU),BofwUAeJvyh,3
85745 - CHAP Stawisha,wiJ5AZu9IP4,3
85746 - KCCB ACTS,dD8wb3EDImi,3
85748 - LVCT Dhibiti,BToIpZXWp0y,3
8Th Street Clinic,sxSzjDL1zPB,5
AAR Adams Health Centre,fo3o1ttGuxt,5
AAR City Centre Clinic,DX1UYTb1erh,5
AAR Clinic Sarit Centre (Westlands),l0jxFYujGaJ,5
AAR Donholm,Rd6lIZAK54g,5
AAR Eldoret,mhLjHezhoVN,5
AAR Gwh Health Care Ltd,qvdl9OTOMxX,5
AAR Health Care,RrOzfK1AgMn,5
AAR HEALTHCARE,WX1kl5n2Z0i,5
AAR Healthcare Buruburu,G39oy4vmOnb,5
AAR Health care-Kisumu,VeDu9Olup41,5
AAR Healthcare Limited (Karen),riq84143SVj,5
AAR Health Care Ruaka,Xc7S1GryRxE,5
AAR Healthcare Services Syokimau Outpatient Centre,DyPPciUocVr,5
AAR Hospital - Muthaiga,v8eG4gjT4pQ,5
AAR Kitengela Clinic,uZpLEJ24sfC,5
AAR Lavington OPC,b54AbjnTJEd,5
AAR Medical Services (Docks),lvBP7xY9W2N,5
AAR mountain mall,WLKpy6C4uw1,5
AAR Nakuru Clinic,CSpKc4vZzgD,5
AAR Ngong Clinic,QJzFd0WT6oE,5
