Facility Name,Category,Region,County,Beds,Status
Zinduka Clinic,Clinic / Medical Centre,Nairobi Central SE Coast,Nairobi,0,
Wusi-Wutesia (ACK) Dispensary,Dispensary,Nairobi Central SE Coast,Taita Taveta,0,
Women's Guild (PCEA) Uplands Dispensary,Dispensary,Nairobi Central SE Coast,Kiambu,0,
WIRE SDA DISPENSARY OYUGIS,Dispensary,South Rift Nyanza,Homa Bay,0,
Wire Dispensary,Dispensary,South Rift Nyanza,Homa Bay,0,
Wire Adventist Hospital,Hospital,South Rift Nyanza,Homa Bay,0,
WESLEY MISSION CLINIC LANET,Clinic / Medical Centre,Nairobi Central SE Coast,Nakuru,0,
Wesley Health Centre,Health Centre,Nairobi Central SE Coast,Nakuru,0,
Weru Dispensary,Dispensary,Eastern Northeastern,Tharaka Nithi,0,
Weithaga (ACK) Dispensary,Dispensary,Nairobi Central SE Coast,Murang'a,0,
Watamu (SDA) Dispensary,Dispensary,Nairobi Central SE Coast,Kilifi,0,
Vision Peoples Inter Health Centre,Health Centre,,,0,
Vision People's Mission Medical Centre,Clinic / Medical Centre,,,0,
Ukuu MCK Dispensary,Dispensary,Eastern Northeastern,Meru,0,
Tuwan Highway Mission Hospital,Hospital,Western North Rift,Trans Nzoia,0,
Turi (PCEA) Dispensary,Dispensary,Nairobi Central SE Coast,Nakuru,0,
Tumutumu (PCEA) Hospital,Hospital,Nairobi Central SE Coast,Nyeri,0,
Tumaini Mission Hospital,Hospital,Eastern Northeastern,Machakos,0,
TUIYOBEI AGC DISPENSARY,Dispensary,South Rift Nyanza,Kericho,0,
Titila (AIC) Dispensary,Dispensary,Nairobi Central SE Coast,Tana River,0,
Thessalia Dispensary,Dispensary,,,0,
TENWEK HOSPITAL-HEALTH CENTRE KABOSON,Hospital,South Rift Nyanza,Bomet,0,
Tenwek Hospital Annex-Bomet,Hospital,South Rift Nyanza,Bomet,0,
TENWEK HOSPITAL,Hospital,South Rift Nyanza,Bomet,0,
