UID,Name,Short Name,Level,Parent,Groups
AHVXluh93vZ,Hope Compassionate (ACK) Dispensary,Hope Compassionate (ACK),5,Homa Bay Central Ward,ACS Project
AOUfiTMGCKi,Kimachia Dispensary,Kimachia Dispensary,5,Nkomo Ward,In JTP IPSL; Jamii Tekelezi
AagM6cS5ef7,Gatimbi Health Centre,Gatimbi Health Centre,5,Abothuguchi Central Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
AawtXdUefwb,AIC Litein Mission Hospital,AIC Litein Mission Hospital,5,Litein Ward,ACS Project; CHAK MHU; Gates Foundation - RMNCH
AmbExKcweHi,Kiengu PCEA Dispensary,Kiengu PCEA Dispensary,5,Igembe East Ward,CHAK MHU; In JTP IPSL; Jamii Tekelezi
AqeQqDLlXDT,Kaptama (Friends) Health Centre,Kaptama (Friends) HC,5,Kaptama Ward,Gates Foundation - RMNCH
Aqw6Dbpsjk6,Consolata Mission Hospital (Mathari),Consolata Mission H (Math,5,Kiganjo/Mathari Ward,CHAP Stawisha
AtnPcyOFmJJ,Theere Health Centre,Theera Health Centre,5,Antubetwe Kiongo Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
BAtfedDlU9v,Katilini Health Centre,Katilini Health Centre,5,Athi Ward,CHAP Stawisha
BB8Fv5gv7SE,Itibo Mission Health Centre,Itibo Mission Health Centre,5,Itibo Ward,ACS Project; Gates Foundation - RMNCH
BOcLXF8VIvK,St Mark Medical Clinic - Tala,St Mark Medical Clinic - Tala,5,Tala Ward,CHAP Stawisha
BklVxAeLuVH,Olasiti (AIC) Dispensary,Olasiti (AIC) Dispensary,5,Suswa Ward,Bread for the World Project; Gates Foundation - RMNCH; Gitlab Project
BwF2JaC8lCL,Leshau Pondo Health Centre,Leshau Pondo Health Centr,5,Leshau/Pondo Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
CD9oTdiDgcB,Nanam Health Centre,Nanam Health Centre,5,Nanaam Ward,ACS Project; Bread for the World Project
CXAJP0JoCDZ,Baari Health Centre,Baari Health Centre,5,Kiritta Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
CbWO3Te8Tut,Kibirichia Sub-District Hospital,Kibirichia Sub-district H,5,Kibirichia Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
CfdoxJFZhw9,Muutine Med Clinic,Muutine Med Clinic,5,Njia Ward,In JTP IPSL; Is PMTCT site; Jamii Tekelezi
Ch9QLIX4Lv4,Cana Family Life Clinic,Cana Family Clinic,5,Viwandani Ward,Gates Foundation - RMNCH; Gitlab Project
ClfJQm3Docv,Mirangine Health Centre,Mirangine Health Centre,5,Mirangine Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
CmIEKqOW8Lg,Holy family Catholic Hospital (Githunguri),Holy family Catholic Hospital (Githunguri),5,Githunguri Ward,CHAP Stawisha
DRRmd0KhJ7U,Mitunguu Dispensary,Mitunguu Dispensary,5,Mitunguu Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
DSJwlBtTqKz,Ruiri Rural Health Demonstration Centre,Ruiri R H D C,5,Ruiru/Rwawera Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
DbOdUfzRcBN,Njabini Catholic Dispensary,Njabini Catholic Disp,5,Njabani/Kiburu Ward,CHAP Stawisha
DfoyCNu7TiG,Naikara Health Centre,Naikarra Health Centre,5,Naikarra Ward,Bread for the World Project; Gates Foundation - RMNCH; Gitlab Project
Dfweqt8eyqS,Kibera Chemi Chemi Ya Uzima Clinic,Kibera Chemi Chemi ya uzi,5,Makina Ward,Gitlab Project
DoApIYf90N9,Waraba Medica Centre,Waraba Medica Centre,5,Naitiri/Kabuyefwe Ward,Gates Foundation - RMNCH
Dpo1W5ZFOY0,St Lukes ( ACK) Nursing Home(Kaloleni),St Luke's Mission H. (Kal,5,Kaloleni Ward,Bread for the World Project
EFWuy00kRUY,Mutindwa Dispensary,Mutindwa Dispensary,5,Chogoria Ward,In JTP IPSL; Jamii Tekelezi
ELHafKamFIR,Muthara Sub-District Hospital,Muthara Sub-District Hosp,5,Muthara Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
EhJ2SBfPRSW,Kendu Adventist Hospital,Kendu Adventist Hospital,5,Kendu Bay Town Ward,ACS Project; CHAK MHU; Gates Foundation - RMNCH
EhaAg4fr1zh,Soteni Dispensary,Soteni Dispensary,5,Mbakalo Ward,Gates Foundation - RMNCH
EjGDFOdiRTy,Mt Kenya (ACK) Hospital,Mt. Kenya (ACK) Hospital,5,Kerugoya Ward,Gates Foundation - RMNCH; Gitlab Project
