name,aggregationType,valueType,id,code
15-24yrs Eligible for VL,SUM,NUMBER,Bi1S8egTAq5,
15-24yrs TX_Curr,SUM,NUMBER,nAbyf6mu89W,
15-24yrs VL <200,SUM,NUMBER,PASCKBHC2V4,
15-24yrs VL <50 + LDL,SUM,NUMBER,CLKtouvHncQ,
15-24yrs VL Done,SUM,NUMBER,GlIVLmsyeYO,
15-24yrs VL Suppression (<200),SUM,NUMBER,E4aw9GBFmdL,
15-24yrs VL Suppression (<50 + LDL),SUM,NUMBER,qaT2dMI5AhL,
15 - 24yrs % VL Uptake,SUM,NUMBER,l7xzIVuGRK8,
<15yrs Eligible for VL,SUM,NUMBER,M0NcJnEu2pg,
<15yrs TX_Curr,SUM,NUMBER,ZVtoWT9fM9X,
<15yrs VL <200,SUM,NUMBER,YAPYrN8Of5T,
<15yrs VL <50 + LDL,SUM,NUMBER,wKsw5Lr5lXr,
<15yrs VL Done,SUM,NUMBER,teRkOuY1DKn,
<15yrs VL Suppression (<200),SUM,NUMBER,ZPpoe5NWV7k,
<15yrs VL Suppression (<50 + LDL),SUM,NUMBER,LLZ5ahd4jYL,
<15yrs % VL Uptake,SUM,NUMBER,KhExTrMa9T2,
1st ANC eligible,SUM,INTEGER_ZERO_OR_POSITIVE,coybVr4mYpf,
1st ANC General pop issued self-test kits,SUM,INTEGER_ZERO_OR_POSITIVE,OtFPZYXmq29,
1st ANC Infant prophylaxis,SUM,INTEGER_ZERO_OR_POSITIVE,PIOCGhO8eW3,
1st ANC known positive,SUM,INTEGER_ZERO_OR_POSITIVE,ylYJBde9kjh,
1st ANC KP on HAART,SUM,INTEGER_ZERO_OR_POSITIVE,p77nGFBZpdk,
1st ANC MNCH issued with self-test kits,SUM,INTEGER_ZERO_OR_POSITIVE,gqNkVlnojGL,
1st ANC MNCH positive self-test results,SUM,INTEGER_ZERO_OR_POSITIVE,mDEx7Lv33q8,
1st ANC newly identified positive,SUM,INTEGER_ZERO_OR_POSITIVE,WgrVvWg6CEI,
1st ANC PMTCT_ART TLD,SUM,INTEGER_ZERO_OR_POSITIVE,Az5iVPsEygj,
