name,parent,path,openingDate,id,level,closedDate
10 Engineer VCT,"{'name': 'Nanyuki Ward', 'id': 'DpYpJ6E1vRc'}",/HfVjCurKxh2/xuFdFy6t9AH/pF6qPMIlHte/DpYpJ6E1vRc/Vh676wb3d16,1970-01-01T00:00:00.000,Vh676wb3d16,5,
12 Engineers,"{'name': 'Kamenu Ward', 'id': 'A7a1GZJvTGD'}",/HfVjCurKxh2/qKzosKQPl6G/YZAZ1a9MIvX/A7a1GZJvTGD/gPEGZGkfDWa,1970-01-01T00:00:00.000,gPEGZGkfDWa,5,
160325 - Homabay County Government ,"{'name': 'All partners', 'id': 'OEJWxDh6KOU'}",/HfVjCurKxh2/OEJWxDh6KOU/XKmiQsqdWTQ,2021-04-01T00:00:00.000,XKmiQsqdWTQ,3,
160326 - Migori CHMT,"{'name': 'All partners', 'id': 'OEJWxDh6KOU'}",/HfVjCurKxh2/OEJWxDh6KOU/m8VCeVm1YXo,2021-04-01T00:00:00.000,m8VCeVm1YXo,3,
160327 - Nyeri CHMT,"{'name': 'All partners', 'id': 'OEJWxDh6KOU'}",/HfVjCurKxh2/OEJWxDh6KOU/gMA5UvELsjN,2021-04-01T00:00:00.000,gMA5UvELsjN,3,
160330 -CIHEB Imara,"{'name': 'All partners', 'id': 'OEJWxDh6KOU'}",/HfVjCurKxh2/OEJWxDh6KOU/UAf8liMYpGW,2021-10-01T00:00:00.000,UAf8liMYpGW,3,
160338 - CIHEB Connect,"{'name': 'All partners', 'id': 'OEJWxDh6KOU'}",/HfVjCurKxh2/OEJWxDh6KOU/FZ1WAVL16YB,2021-10-01T00:00:00.000,FZ1WAVL16YB,3,
160344 - CIHEB Entrench,"{'name': 'All partners', 'id': 'OEJWxDh6KOU'}",/HfVjCurKxh2/OEJWxDh6KOU/xiEGiwayRmo,2021-10-01T00:00:00.000,xiEGiwayRmo,3,
16684 - Kenya Disciplined Services ZUIA,"{'name': 'All partners', 'id': 'OEJWxDh6KOU'}",/HfVjCurKxh2/OEJWxDh6KOU/GyA8mA0rRPl,2019-09-30T00:00:00.000,GyA8mA0rRPl,3,2020-09-30T00:00:00.000
16687 - Kenya Prison Services,"{'name': 'All partners', 'id': 'OEJWxDh6KOU'}",/HfVjCurKxh2/OEJWxDh6KOU/onMqWl5GcNX,2019-09-30T00:00:00.000,onMqWl5GcNX,3,2020-09-30T00:00:00.000
18203 - EGPAF Timiza,"{'name': 'All partners', 'id': 'OEJWxDh6KOU'}",/HfVjCurKxh2/OEJWxDh6KOU/THw7R0mZchB,2019-09-30T00:00:00.000,THw7R0mZchB,3,2021-09-30T00:00:00.000
18204 - UON CRISSP Plus,"{'name': 'All partners', 'id': 'OEJWxDh6KOU'}",/HfVjCurKxh2/OEJWxDh6KOU/U12BeMpFcuB,2019-09-30T00:00:00.000,U12BeMpFcuB,3,2022-09-30T00:00:00.000
18205 - UMB PACT Kamili,"{'name': 'All partners', 'id': 'OEJWxDh6KOU'}",/HfVjCurKxh2/OEJWxDh6KOU/nNtjWSmxFkw,2019-09-30T00:00:00.000,nNtjWSmxFkw,3,2021-09-30T00:00:00.000
18206 - KCCB KARP,"{'name': 'All partners', 'id': 'OEJWxDh6KOU'}",/HfVjCurKxh2/OEJWxDh6KOU/RxahaZaCwE5,2019-09-30T00:00:00.000,RxahaZaCwE5,3,2022-09-30T00:00:00.000
18207 - Columbia STARS,"{'name': 'All partners', 'id': 'OEJWxDh6KOU'}",/HfVjCurKxh2/OEJWxDh6KOU/GILxDpPsFBh,2019-09-30T00:00:00.000,GILxDpPsFBh,3,2021-09-30T00:00:00.000
18208 - IRDO Tuungane 3,"{'name': 'All partners', 'id': 'OEJWxDh6KOU'}",/HfVjCurKxh2/OEJWxDh6KOU/gLRDM0Er5RH,2019-09-30T00:00:00.000,gLRDM0Er5RH,3,2021-09-30T00:00:00.000
18209 - LVCT Daraja,"{'name': 'All partners', 'id': 'OEJWxDh6KOU'}",/HfVjCurKxh2/OEJWxDh6KOU/YRgdX2YZ6G2,2019-09-30T00:00:00.000,YRgdX2YZ6G2,3,2021-09-30T00:00:00.000
18215 - Coptic Hospitals,"{'name': 'All partners', 'id': 'OEJWxDh6KOU'}",/HfVjCurKxh2/OEJWxDh6KOU/a44V9IA3t9j,2019-09-30T00:00:00.000,a44V9IA3t9j,3,2022-09-30T00:00:00.000
18217 - Ngima for Sure,"{'name': 'All partners', 'id': 'OEJWxDh6KOU'}",/HfVjCurKxh2/OEJWxDh6KOU/sNPlnVRIZoY,2019-09-30T00:00:00.000,sNPlnVRIZoY,3,2021-09-30T00:00:00.000
