chart,period_dhis,period_label,facility,total_new_starts_on_art
New Starts on ART by Month,202506,2025-06,,389
New Starts on ART by Month,202507,2025-07,,351
New Starts on ART by Month,202508,2025-08,,387
New Starts on ART by Month,202509,2025-09,,330
New Starts on ART by Month,202510,2025-10,,364
New Starts on ART by Month,202511,2025-11,,318
New Starts on ART by Month,202512,2025-12,,322
New Starts on ART by Month,202601,2026-01,,354
New Starts on ART by Month,202602,2026-02,,381
New Starts on ART by Month,202603,2026-03,,392
New Starts on ART by Month,202604,2026-04,,360
Top Facilities – New Starts on ART,,,Kikuyu Ward,266
Top Facilities – New Starts on ART,,,Nkuene Ward,185
Top Facilities – New Starts on ART,,,Maua Ward,174
Top Facilities – New Starts on ART,,,Hellsgate Ward,173
Top Facilities – New Starts on ART,,,Lari/Kirenga Ward,132
Top Facilities – New Starts on ART,,,Gathara Ward,130
Top Facilities – New Starts on ART,,,Limuru East Ward,126
Top Facilities – New Starts on ART,,,Ting'ang'a Ward,119
Top Facilities – New Starts on ART,,,Keekonyokie Ward,109
Top Facilities – New Starts on ART,,,Chogoria Ward,106
Top Facilities – New Starts on ART,,,Kijabe Ward,106
Top Facilities – New Starts on ART,,,Ruchu Ward,103
