hospital_id,hospital_name,level,path,observations,source_files
pP1WlCSYejH,	Chaliana Medical Centre,5,/HfVjCurKxh2/wsBsC6gjHvn/C1hO6wNOgrH/J9QXQIm43fW/pP1WlCSYejH,0,
C803pEBBFKk, Emesa Community Health Unit,5,/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/C803pEBBFKk,0,
jxY2VdP1Rdl, Kasaye Community Healtrh Unit,5,/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/jxY2VdP1Rdl,0,
aYAiJgbBan3, Ritembu Community Health Unit,5,/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/aYAiJgbBan3,0,
GyMi7mP5UBH, Sidho East 2 Community Unit,5,/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/GyMi7mP5UBH,0,
Vh676wb3d16,10 Engineer VCT,5,/HfVjCurKxh2/xuFdFy6t9AH/pF6qPMIlHte/DpYpJ6E1vRc/Vh676wb3d16,0,
gPEGZGkfDWa,12 Engineers,5,/HfVjCurKxh2/qKzosKQPl6G/YZAZ1a9MIvX/A7a1GZJvTGD/gPEGZGkfDWa,0,
r96GaeVvrde,360 Health Care Centre,5,/HfVjCurKxh2/wsBsC6gjHvn/sr8WEz03EnP/FydnlJp81aR/r96GaeVvrde,0,
CgMmkS9jWI6,3Kr Health Centre,5,/HfVjCurKxh2/ob6SxuRcqU4/FBJ9Y11esHS/W1Kv7kfFzub/CgMmkS9jWI6,0,
GndpAyWp8in,4Ms Community Health Unit,5,/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/GndpAyWp8in,0,
MgMyK9aTJ2C,78 Tank Battalion Dispensary,5,/HfVjCurKxh2/bzOfj0iwfDH/I2LYLqKU6AW/rIdiIpv9fBt/MgMyK9aTJ2C,0,
kMvyfZaFoq8,7KR Mrs Health Centre,5,/HfVjCurKxh2/jkG3zaihdSs/aTGYlhEw2Xx/oFPmL4TCoWb/kMvyfZaFoq8,0,
sxSzjDL1zPB,8Th Street Clinic,5,/HfVjCurKxh2/Hsk1YV8kHkT/g6gTzQ5nfYq/BQ7G5kGe1Cv/sxSzjDL1zPB,0,
gyN0wBpPudg,A To Z Quality Health Family Health Services,5,/HfVjCurKxh2/ob6SxuRcqU4/gSJXzH1DM75/TaCopZQ4jLn/gyN0wBpPudg,0,
