county_id,county_name,subcounty_id,subcounty_name,ward_id,ward_name,facility_id,facility_name
PFu8alU2KWG,Embu County,IPOMRXiYjxr,Manyatta Sub County,s3eywuLj65m,Gaturi North Ward,MWWddpdCM6G,Makengi Dispensary (Embu)
PFu8alU2KWG,Embu County,IPOMRXiYjxr,Manyatta Sub County,FUD1yUgctME,Gaturi South Ward,mZq9BpNMPFG,Nembure Health Centre
PFu8alU2KWG,Embu County,IPOMRXiYjxr,Manyatta Sub County,GjGpfHjSGbO,Kirimari Ward,NXlTHAroEmk,Dallas Dispensary
PFu8alU2KWG,Embu County,IPOMRXiYjxr,Manyatta Sub County,GjGpfHjSGbO,Kirimari Ward,ubYSAHlGbvb,Embu Provincial General Hospital
PFu8alU2KWG,Embu County,IPOMRXiYjxr,Manyatta Sub County,lMTHF7AFCSP,Kithimu Ward,nJ74OdDWIhS,Kithegi Dispensary
PFu8alU2KWG,Embu County,IPOMRXiYjxr,Manyatta Sub County,lMTHF7AFCSP,Kithimu Ward,MtUXQriAX6H,Kithimu Dispensary
PFu8alU2KWG,Embu County,IPOMRXiYjxr,Manyatta Sub County,lMTHF7AFCSP,Kithimu Ward,IzazwT0OMF8,Rukira Dispensary
PFu8alU2KWG,Embu County,IPOMRXiYjxr,Manyatta Sub County,vEAFtHnPDrX,Mbeti North Ward,vomk8x4PVA8,Embu Children Hospital
PFu8alU2KWG,Embu County,IPOMRXiYjxr,Manyatta Sub County,vEAFtHnPDrX,Mbeti North Ward,HgEHx7HWGXS,Gatunduri Dispensary
PFu8alU2KWG,Embu County,IPOMRXiYjxr,Manyatta Sub County,vEAFtHnPDrX,Mbeti North Ward,n69slLZD3v3,Geltrude Health Centre
PFu8alU2KWG,Embu County,IPOMRXiYjxr,Manyatta Sub County,juDN8sSnk3O,Nginda Ward,pvtkOPp8UE4,Karau Health Centre
PFu8alU2KWG,Embu County,IPOMRXiYjxr,Manyatta Sub County,juDN8sSnk3O,Nginda Ward,rVDOiFMpHlD,Kibugu Health Centre
PFu8alU2KWG,Embu County,IPOMRXiYjxr,Manyatta Sub County,ncD8mIBXHRn,Ruguru-ngandori Ward,sFIGmjKBUBC,Emmanuel Kigari (ACK) Dispensary
PFu8alU2KWG,Embu County,IPOMRXiYjxr,Manyatta Sub County,ncD8mIBXHRn,Ruguru-ngandori Ward,NsOtD5QOM4t,Kairuri Health Centre
PFu8alU2KWG,Embu County,eYBXetGx8xF,Mbeere North Sub County,LlyKi6c8KbT,Evurore Ward,kgwPDqMydjo,Ishiara Sub-District Hospital
PFu8alU2KWG,Embu County,eYBXetGx8xF,Mbeere North Sub County,LlyKi6c8KbT,Evurore Ward,Zl8JMj5NOHk,Kamumu Dispensary
PFu8alU2KWG,Embu County,eYBXetGx8xF,Mbeere North Sub County,LlyKi6c8KbT,Evurore Ward,R41QQ3YpoYu,Kanyuambora Dispensary
PFu8alU2KWG,Embu County,eYBXetGx8xF,Mbeere North Sub County,HpGxgPszuYN,Muminji Ward,Jg3AKpoTgyf,Kathanje Dispensary
PFu8alU2KWG,Embu County,eYBXetGx8xF,Mbeere North Sub County,HpGxgPszuYN,Muminji Ward,QtkuzgCwZnB,Kiambere Dam Dispensary
PFu8alU2KWG,Embu County,eYBXetGx8xF,Mbeere North Sub County,HpGxgPszuYN,Muminji Ward,tww0l46CGoh,Kirie Dispensary
PFu8alU2KWG,Embu County,eYBXetGx8xF,Mbeere North Sub County,tGtfKyhl0y1,Nthawa Ward,Kr5Vxuz1yLl,Mbeere District Hospital
PFu8alU2KWG,Embu County,AvnM6jKoocs,Mbeere South Sub County,CMHN2XMxdY9,Kiambere Ward,xDYrSeSD4g7,Kiambere Health Centre
PFu8alU2KWG,Embu County,AvnM6jKoocs,Mbeere South Sub County,CMHN2XMxdY9,Kiambere Ward,yGXMuAvTOta,Riachina Dispensary
PFu8alU2KWG,Embu County,AvnM6jKoocs,Mbeere South Sub County,IqDql8D0FEF,Mavuria Ward,pITV7RGeKeJ,Ccs Kiritiri Clinic
PFu8alU2KWG,Embu County,AvnM6jKoocs,Mbeere South Sub County,IqDql8D0FEF,Mavuria Ward,dzPtnXVHu7C,Kiritiri Health Centre
PFu8alU2KWG,Embu County,AvnM6jKoocs,Mbeere South Sub County,IqDql8D0FEF,Mavuria Ward,sObWsoB3enC,Machang'a Dispensary
