Indicator,Month,Facility,Total_Visits,Monthly_Expenditure_USD,Cost_Per_ANC_Visit
fbfJHSPpUQD,202510,cJ7omISg7gG,13,2495.75,191.98
fbfJHSPpUQD,202508,RQgXBKxgvHf,48,1722.71,35.89
fbfJHSPpUQD,202603,t52CJEyLhch,10,2443.95,244.4
fbfJHSPpUQD,202506,m3QGt8fY3L0,6,1296.38,216.06
fbfJHSPpUQD,202508,xWjiTeok0Sr,8,555.82,69.48
fbfJHSPpUQD,202505,GhDwjKv07iC,15,1444.76,96.32
fbfJHSPpUQD,202602,dWOAzMcK2Wt,29,1719.2,59.28
fbfJHSPpUQD,202511,TSyzvBiovKh,237,1838.53,7.76
fbfJHSPpUQD,202511,LOpWauwwghf,9,1808.05,200.89
fbfJHSPpUQD,202506,qcYG2Id7GS8,18,538.77,29.93
fbfJHSPpUQD,202508,qxbsDd9QYv6,32,830.72,25.96
fbfJHSPpUQD,202508,mc3jvzpzSi4,24,2074.06,86.42
fbfJHSPpUQD,202601,bkMlhoccaVw,9,2005.65,222.85
fbfJHSPpUQD,202508,vcY0lzBz6fU,12,1800.94,150.08
fbfJHSPpUQD,202506,i7qaYfmGVDr,36,1767.95,49.11
fbfJHSPpUQD,202512,OTlKtnhvEm1,9,2895.36,321.71
fbfJHSPpUQD,202505,UGVLYrO63mR,12,1490.63,124.22
fbfJHSPpUQD,202509,tXL6C7P0ObJ,10,2706.86,270.69
fbfJHSPpUQD,202602,jYPY8mT8gn6,16,2520.05,157.5
fbfJHSPpUQD,202505,fzBpuujglTY,21,2056.85,97.95
fbfJHSPpUQD,202510,rwgK8TkRwHl,10,2085.81,208.58
fbfJHSPpUQD,202511,DxPNV7VHauJ,19,999.99,52.63
fbfJHSPpUQD,202602,fRV3Fhz1IP8,15,1084.36,72.29
fbfJHSPpUQD,202604,BNFrspDBKel,30,1801.21,60.04
fbfJHSPpUQD,202603,L05Bfpu7AcZ,18,2039.84,113.32
fbfJHSPpUQD,202509,wB4R3E1X6pC,31,2738.85,88.35
fbfJHSPpUQD,202602,DMxw0SASFih,34,1343.05,39.5
fbfJHSPpUQD,202509,OTlKtnhvEm1,5,2114.55,422.91
fbfJHSPpUQD,202601,Mod8hYpQ3Ma,9,2594.71,288.3
fbfJHSPpUQD,202602,wzvDhS0TkAF,9,2232.69,248.08
fbfJHSPpUQD,202604,oph70zH8JB2,13,2248.81,172.99
fbfJHSPpUQD,202603,cTU2WmWcJKx,2,545.28,272.64
fbfJHSPpUQD,202510,ALZ2qr5u0X0,19,2201.2,115.85
fbfJHSPpUQD,202509,Fbq6Vxa4MIx,26,2390.64,91.95
fbfJHSPpUQD,202508,TSyzvBiovKh,216,2858.06,13.23
fbfJHSPpUQD,202604,gei3Sqw8do7,97,2572.47,26.52
fbfJHSPpUQD,202506,EZIMUaUD8AJ,29,1368.38,47.19
fbfJHSPpUQD,202511,m3VnSQbE8CD,30,641.15,21.37
fbfJHSPpUQD,202601,NMcx2jmra3c,9,985.65,109.52
fbfJHSPpUQD,202511,mc3jvzpzSi4,18,1609.74,89.43
fbfJHSPpUQD,202506,xRsoZIRmnt4,14,1307.98,93.43
fbfJHSPpUQD,202603,bne6tOoPaWn,23,904.52,39.33
fbfJHSPpUQD,202604,w9FJ9oAdFys,111,1184.28,10.67
fbfJHSPpUQD,202508,DxPNV7VHauJ,12,611.33,50.94
fbfJHSPpUQD,202601,IN2dOk0gY1G,23,2269.93,98.69
fbfJHSPpUQD,202507,rwgK8TkRwHl,18,1675.79,93.1
fbfJHSPpUQD,202505,MMrdfNDfBIi,14,737.84,52.7
fbfJHSPpUQD,202508,vPz4Irz7sxR,6,2861.37,476.9
fbfJHSPpUQD,202602,ui12Hyvn6jR,36,651.27,18.09
fbfJHSPpUQD,202604,JrSIoCOdTH2,209,1730.64,8.28
fbfJHSPpUQD,202604,jKZ0U8Og5aV,24,2163.12,90.13
fbfJHSPpUQD,202511,lpQvlm9czYE,26,810.97,31.19
fbfJHSPpUQD,202508,LOpWauwwghf,8,648.74,81.09
fbfJHSPpUQD,202511,F2TAF765q1b,17,1570.8,92.4
fbfJHSPpUQD,202509,LWlh25dfvEA,22,1335.7,60.71
fbfJHSPpUQD,202509,XGUOQaRUPjO,30,2809.42,93.65
fbfJHSPpUQD,202603,XGUOQaRUPjO,19,784.14,41.27
fbfJHSPpUQD,202511,RQgXBKxgvHf,27,2634.09,97.56
fbfJHSPpUQD,202604,m5BX6CvJ6Ex,57,2937.56,51.54
fbfJHSPpUQD,202508,pMEnu7BjqMz,5,1077.07,215.41
fbfJHSPpUQD,202603,tXL6C7P0ObJ,18,1116.58,62.03
fbfJHSPpUQD,202509,ZALwM386w0T,6,2948.79,491.46
fbfJHSPpUQD,202603,duGLGssecoD,12,2884.72,240.39
fbfJHSPpUQD,202508,fdsRQbuuAuh,10,892.89,89.29
fbfJHSPpUQD,202604,MrME31scKA1,25,2155.82,86.23
fbfJHSPpUQD,202603,Xk2fvz4aTBU,35,839.18,23.98
fbfJHSPpUQD,202509,mt47bcb0Rcj,13,1458.52,112.19
fbfJHSPpUQD,202604,f7yRhIeFn1k,8,1622.03,202.75
fbfJHSPpUQD,202507,BTXwf2gl7av,8,1394.63,174.33
fbfJHSPpUQD,202509,ABM75Q1UfoP,6,1838.8,306.47
fbfJHSPpUQD,202508,m3VnSQbE8CD,46,604.18,13.13
fbfJHSPpUQD,202603,LWlh25dfvEA,7,890.55,127.22
fbfJHSPpUQD,202603,ABM75Q1UfoP,13,725.37,55.8
fbfJHSPpUQD,202505,FGbXmz7gTTl,9,901.68,100.19
fbfJHSPpUQD,202510,SQz3xtx1Sgr,14,2947.14,210.51
fbfJHSPpUQD,202604,VpYAl8dXs6m,4,1526.77,381.69
fbfJHSPpUQD,202509,duGLGssecoD,9,2022.55,224.73
fbfJHSPpUQD,202601,v0dXACseLuB,10,1832.22,183.22
fbfJHSPpUQD,202510,Eyqyhztf8G1,8,851.39,106.42
fbfJHSPpUQD,202601,aIsnJuZbmVA,11,2222.28,202.03
fbfJHSPpUQD,202509,Xk2fvz4aTBU,15,1919.49,127.97
fbfJHSPpUQD,202604,DxguTiXvIJu,9,2925.98,325.11
fbfJHSPpUQD,202602,fdsRQbuuAuh,26,2218.74,85.34
fbfJHSPpUQD,202511,xWjiTeok0Sr,15,2144.52,142.97
fbfJHSPpUQD,202507,aIsnJuZbmVA,8,2032.19,254.02
fbfJHSPpUQD,202507,qusWt6sESRU,17,534.02,31.41
fbfJHSPpUQD,202604,DVjewuIdgMN,13,2214.37,170.34
fbfJHSPpUQD,202506,SlNw6FxElY9,6,1284.85,214.14
fbfJHSPpUQD,202505,vQYIk5G9NxP,25,2297.74,91.91
fbfJHSPpUQD,202507,Eyqyhztf8G1,12,534.1,44.51
fbfJHSPpUQD,202601,vAdMjyOspGL,9,780.18,86.69
fbfJHSPpUQD,202512,u1eQDDtKqm7,5,693.7,138.74
fbfJHSPpUQD,202512,duGLGssecoD,16,959.42,59.96
fbfJHSPpUQD,202507,rspjJHg4WY1,5,2933.37,586.67
fbfJHSPpUQD,202512,cTU2WmWcJKx,2,1184.57,592.28
fbfJHSPpUQD,202510,AFi1GjbeejL,13,831.76,63.98
fbfJHSPpUQD,202508,dWOAzMcK2Wt,10,2193.18,219.32
fbfJHSPpUQD,202512,LWlh25dfvEA,8,2139.24,267.4
fbfJHSPpUQD,202507,MnfykVk3zin,17,844.86,49.7
fbfJHSPpUQD,202508,jYPY8mT8gn6,4,1203.41,300.85
fbfJHSPpUQD,202512,RHJram03Rlm,23,1591.05,69.18
fbfJHSPpUQD,202505,TljiT6C5D0J,30,1997.17,66.57
fbfJHSPpUQD,202508,a04CZxe0PSe,24,1037.15,43.21
fbfJHSPpUQD,202512,XGUOQaRUPjO,21,887.47,42.26
fbfJHSPpUQD,202511,NLN0MvWv9tl,14,843.46,60.25
fbfJHSPpUQD,202512,QMnoFLTLpkY,14,1215.6,86.83
fbfJHSPpUQD,202602,vcY0lzBz6fU,18,2736.4,152.02
fbfJHSPpUQD,202507,NMcx2jmra3c,12,1993.45,166.12
fbfJHSPpUQD,202506,koa3hwZZ2i7,15,889.49,59.3
fbfJHSPpUQD,202508,DMxw0SASFih,53,2696.44,50.88
fbfJHSPpUQD,202510,bkMlhoccaVw,7,2851.57,407.37
fbfJHSPpUQD,202509,QpRIPul20Sb,19,2800.97,147.42
fbfJHSPpUQD,202505,rs87nYgwbKv,18,1075.68,59.76
fbfJHSPpUQD,202511,kpDoH80fwdX,60,1266.03,21.1
fbfJHSPpUQD,202510,fHqBRE3LTiQ,15,1858.44,123.9
fbfJHSPpUQD,202604,aHs9PLxIdbr,31,1560.87,50.35
