Indicator,Month,Facility,Total_Visits
fbfJHSPpUQD,202510,cJ7omISg7gG,13
fbfJHSPpUQD,202508,RQgXBKxgvHf,48
fbfJHSPpUQD,202603,t52CJEyLhch,10
fbfJHSPpUQD,202506,m3QGt8fY3L0,6
fbfJHSPpUQD,202508,xWjiTeok0Sr,8
fbfJHSPpUQD,202505,GhDwjKv07iC,15
fbfJHSPpUQD,202602,dWOAzMcK2Wt,29
fbfJHSPpUQD,202511,TSyzvBiovKh,237
fbfJHSPpUQD,202511,LOpWauwwghf,9
fbfJHSPpUQD,202506,qcYG2Id7GS8,18
fbfJHSPpUQD,202508,qxbsDd9QYv6,32
fbfJHSPpUQD,202508,mc3jvzpzSi4,24
fbfJHSPpUQD,202601,bkMlhoccaVw,9
fbfJHSPpUQD,202508,vcY0lzBz6fU,12
fbfJHSPpUQD,202506,i7qaYfmGVDr,36
fbfJHSPpUQD,202512,OTlKtnhvEm1,9
fbfJHSPpUQD,202505,UGVLYrO63mR,12
fbfJHSPpUQD,202509,tXL6C7P0ObJ,10
fbfJHSPpUQD,202602,jYPY8mT8gn6,16
fbfJHSPpUQD,202505,fzBpuujglTY,21
fbfJHSPpUQD,202510,rwgK8TkRwHl,10
fbfJHSPpUQD,202511,DxPNV7VHauJ,19
fbfJHSPpUQD,202602,fRV3Fhz1IP8,15
fbfJHSPpUQD,202604,BNFrspDBKel,30
fbfJHSPpUQD,202603,L05Bfpu7AcZ,18
fbfJHSPpUQD,202509,wB4R3E1X6pC,31
fbfJHSPpUQD,202602,DMxw0SASFih,34
fbfJHSPpUQD,202509,OTlKtnhvEm1,5
fbfJHSPpUQD,202601,Mod8hYpQ3Ma,9
fbfJHSPpUQD,202602,wzvDhS0TkAF,9
fbfJHSPpUQD,202604,oph70zH8JB2,13
fbfJHSPpUQD,202603,cTU2WmWcJKx,2
fbfJHSPpUQD,202510,ALZ2qr5u0X0,19
fbfJHSPpUQD,202509,Fbq6Vxa4MIx,26
fbfJHSPpUQD,202508,TSyzvBiovKh,216
fbfJHSPpUQD,202604,gei3Sqw8do7,97
fbfJHSPpUQD,202506,EZIMUaUD8AJ,29
fbfJHSPpUQD,202511,m3VnSQbE8CD,30
fbfJHSPpUQD,202601,NMcx2jmra3c,9
fbfJHSPpUQD,202511,mc3jvzpzSi4,18
fbfJHSPpUQD,202506,xRsoZIRmnt4,14
fbfJHSPpUQD,202603,bne6tOoPaWn,23
fbfJHSPpUQD,202604,w9FJ9oAdFys,111
fbfJHSPpUQD,202508,DxPNV7VHauJ,12
