Facility_ID,Facility_Name
pP1WlCSYejH,	Chaliana Medical Centre
Vh676wb3d16,10 Engineer VCT
gPEGZGkfDWa,12 Engineers
r96GaeVvrde,360 Health Care Centre
CgMmkS9jWI6,3Kr Health Centre
MgMyK9aTJ2C,78 Tank Battalion Dispensary
kMvyfZaFoq8,7KR Mrs Health Centre
sxSzjDL1zPB,8Th Street Clinic
gyN0wBpPudg,A To Z Quality Health Family Health Services
lNOoLAelIzT,A.C.K Butonge Dispensary
fo3o1ttGuxt,AAR Adams Health Centre
DX1UYTb1erh,AAR City Centre Clinic
l0jxFYujGaJ,AAR Clinic Sarit Centre (Westlands)
Rd6lIZAK54g,AAR Donholm
mhLjHezhoVN,AAR Eldoret
qvdl9OTOMxX,AAR Gwh Health Care Ltd
WX1kl5n2Z0i,AAR HEALTHCARE
RrOzfK1AgMn,AAR Health Care
Xc7S1GryRxE,AAR Health Care Ruaka
VeDu9Olup41,AAR Health care-Kisumu
G39oy4vmOnb,AAR Healthcare Buruburu
riq84143SVj,AAR Healthcare Limited (Karen)
DyPPciUocVr,AAR Healthcare Services Syokimau Outpatient Centre
v8eG4gjT4pQ,AAR Hospital - Muthaiga
uZpLEJ24sfC,AAR Kitengela Clinic
b54AbjnTJEd,AAR Lavington OPC
lvBP7xY9W2N,AAR Medical Services (Docks)
CSpKc4vZzgD,AAR Nakuru Clinic
QJzFd0WT6oE,AAR Ngong Clinic
GaJDwc23dzp,AAR Nyali Heallthcare(K) LTD Nyali
Do1rjVqnLEK,AAR Parklands Medical Centre
C1LIWUfN9s6,AAR Thika Road Clinic
WLKpy6C4uw1,AAR mountain mall
dkoYBq4YeMS,ABC Thange Dispensary
mM0Shmy1YVB,ACC&S Chomo Community Dispensary
wgnoZpalFpU,ACC&S Kigumo Dispensary
Fg18SYNETmu,ACK Dispensary (Isiolo)
ToVF7LrMcib,ACK Dr Pike Roper Medical Center
dbsaPexO6qS,ACK Emmanuel Mission Hospital
v3RYKbfzs1P,ACK Gaitheri
oyGocWMgmif,ACK Ikulu Faith Dispensary
HAXZM3YNUmN,ACK Kanunga Dispensary
ptHBptADZbj,ACK Kibirigwi Dispensary
mVJd9uP587g,ACK Leah Njoki Dispensary
r9Nw0PyLOZD,ACK MT Kenya Hospital (Mwea)
wQgvycHkA4P,ACK Mwingi CHBC Clinic
eAI2HbFDx2b,ACK Nguni Annex Clinic
whQyfhyCoEB,ACK Nturumeti Dispensary
vbTXwTtyO3p,ACK Otaro Community Dispensary
K25bVmp9Uw1,ADADI DISPENSARY
