County,SubCounty,Facility
Baringo County,Bartabwa Ward,Atiar Dispensary
Baringo County,Bartabwa Ward,Barbarchun Dispensary
Baringo County,Bartabwa Ward,Bartabwa Health Centre
Baringo County,Bartabwa Ward,Kalabata Dispensary
Baringo County,Bartabwa Ward,Kapturo Dispensary (Bartabwa)
Baringo County,Bartabwa Ward,Kinyach Dispensary
Baringo County,Bartabwa Ward,Moigutwo Dispensary
Baringo County,Bartabwa Ward,Terik Dispensary
Baringo County,Bartabwa Ward,Tunoiwo Dispensary
Baringo County,Barwessa Ward,Ayatya Dispensary
Baringo County,Barwessa Ward,Barwessa Health Centre
Baringo County,Barwessa Ward,Chemura
Baringo County,Barwessa Ward,Kapluk Dispensary
Baringo County,Barwessa Ward,Kaptiony Dispensary
Baringo County,Barwessa Ward,Katibel Dispensary
Baringo County,Barwessa Ward,Keturwo Dispensary
Baringo County,Barwessa Ward,Kiptaiwa
Baringo County,Barwessa Ward,Kuikui Health Centre
Baringo County,Barwessa Ward,Likwon Dispensary
Baringo County,Barwessa Ward,Muchukwo Dispensary
Baringo County,Churo/Amaya Ward,Churo Dispensary
Baringo County,Churo/Amaya Ward,Churo Health Centre
Baringo County,Churo/Amaya Ward,Kaptuya dispensary
Baringo County,Churo/Amaya Ward,Nasaltuko Dispensary
Baringo County,Churo/Amaya Ward,Plesian Dispensary
Baringo County,Emining Ward,Cheberen Dispensary
Baringo County,Emining Ward,Chemoinoi Dispensary
Baringo County,Emining Ward,Desroyal Healthcare
Baringo County,Emining Ward,Emining Health Centre
Baringo County,Emining Ward,Kabogor Dispensary
Baringo County,Emining Ward,Kamar Dispensary
Baringo County,Emining Ward,Kimose Dispensary
Baringo County,Emining Ward,Molok Dispensary
Baringo County,Emining Ward,Molos Dispensary
Baringo County,Emining Ward,Oterit Dispensary
Baringo County,Emining Ward,Radat Dispensary
Baringo County,Emining Ward,TIAN DISPENSARY
Baringo County,Ewalel/Chapchap Ward,Kapkomoi Dispensary
Baringo County,Ewalel/Chapchap Ward,Kaptorokwa Dispensary
Baringo County,Ewalel/Chapchap Ward,Kituro Health Centre
Baringo County,Ewalel/Chapchap Ward,Moi Teachers College Dispensary (Baringo)
Baringo County,Ewalel/Chapchap Ward,Riwo Dispensary
Baringo County,Ewalel/Chapchap Ward,Seretunin Health Centre
Baringo County,Ewalel/Chapchap Ward,Talai Dispensary
Baringo County,Ewalel/Chapchap Ward,Talai sec school Dispensary
Baringo County,Iichamus Ward,Eldume dispensary
Baringo County,Iichamus Ward,Illinga'Rua Dispensary
Baringo County,Iichamus Ward,Kampi Samaki Health Centre
Baringo County,Iichamus Ward,Kokwa Dispensary
Baringo County,Iichamus Ward,Longewan Dispensary(Baringo)
Baringo County,Iichamus Ward,Loropil Dispensary
Baringo County,Iichamus Ward,Meisori Dispensary
Baringo County,Kabarnet Ward,AIC Ebenezer
Baringo County,Kabarnet Ward,Baringo County Beyond Zero Mobile Clinic
Baringo County,Kabarnet Ward,Baringo County Referral Hospital
Baringo County,Kabarnet Ward,Barnet Memorial Hospital
