SubCounty_ID,SubCounty_Name,County_Name
Tdyu1iQYirq,Bartabwa Ward,Baringo County
OlKUTmnTY57,Barwessa Ward,Baringo County
gF0VBsLJhxK,Churo/Amaya Ward,Baringo County
uhTYg7CLmOd,Emining Ward,Baringo County
Uq1zAqIJXv3,Ewalel/Chapchap Ward,Baringo County
zI7CuvCQcos,Iichamus Ward,Baringo County
Kn2aiEXbw5B,Kabarnet Ward,Baringo County
hOymt7wmmCI,Kabartonjo Ward,Baringo County
er24ckvh14d,Kapropita Ward,Baringo County
LYDEE54oZAu,Kisanana Ward,Baringo County
NFMLHmkjDil,Koibatek Ward,Baringo County
LTWLjOZQMqk,Kolowa Ward,Baringo County
YoFhsT3n9Ln,Lembus Kwen Ward,Baringo County
KUL5AR13rwy,Lembus Ward,Baringo County
NmgTZ010rTT,Lembus/Perkerra Ward,Baringo County
A7kJTCLxqNq,Loiyamorok Ward,Baringo County
bVD6U8Bf6As,Marigat Ward,Baringo County
RUfWwfXjF1B,Mochongoi Ward,Baringo County
duv5obCpRzb,Mogotio Ward,Baringo County
sPoq2HB87R1,Mukutani Ward,Baringo County
b85TEdR4eRk,Mumberes/Maji Mazuri Ward,Baringo County
ikiFHlCFCCq,Ravine Ward,Baringo County
XLsFzNATUQ2,Ribkwo Ward,Baringo County
X0OCKVcartn,Sacho Ward,Baringo County
SRnkv6Fgvoh,Saimo/Soi Ward,Baringo County
PS4XNPha7bO,Saimoi/Kipsaraman Ward,Baringo County
k2oUoGgQ9Nd,Silale Ward,Baringo County
i4HY1pMsQ4q,Tangulbei/Korossi Ward,Baringo County
l7Lt0CsaQGl,Tenges Ward,Baringo County
HTbw8gm6kms,Tirioko Ward,Baringo County
w8SzXPBdjgq,Boito Ward,Bomet County
m6Ko9GT996i,Chebunyo Ward,Bomet County
LK2nY0OUCDG,Chemagel Ward,Bomet County
qj9Id3LgrGI,Chemaner Ward,Bomet County
uMqAPTG5rm0,Chepchabas Ward,Bomet County
Nu4cnZtQHk8,Chesoen Ward,Bomet County
QMzAkzZkH34,Embomos Ward,Bomet County
G6aklDidwGe,Kapletundo Ward,Bomet County
Va67VduPAgZ,Kembu Ward,Bomet County
OFb6pB88hNT,Kimulot Ward,Bomet County
dDmN1rie0ij,Kipreres Ward,Bomet County
p5Z6myFYERX,Kipsonoi Ward,Bomet County
IBgG8lef22L,Kong'asis Ward,Bomet County
drrGwAxlRtW,Longisa Ward,Bomet County
sp794D1MvxT,Merigi Ward,Bomet County
rWijSZrVU5U,Mogogosiek Ward,Bomet County
g5eGcoROeya,Mutarakwa Ward,Bomet County
ygECklrrzGE,Ndanai/Abosi Ward,Bomet County
J4ZIAuamKlu,Ndaraweta Ward,Bomet County
mareBenlFqk,Nyangores Ward,Bomet County
Xj8EsCO27Jv,Rongena/Manaret Ward,Bomet County
KFjbUWezAnU,Sigor Ward,Bomet County
tM4Bmyj48cN,Silibwet Township Ward,Bomet County
wHeMr9JlYBi,Singorwet Ward,Bomet County
zxVl78P6p8i,Siongiroi Ward,Bomet County
rAJO40KF2F6,Bokoli Ward,Bungoma County
gsSTglpX3Wd,Bukembe East Ward,Bungoma County
r6SlF5OJDxM,Bukembe West Ward,Bungoma County
dOJaTypeyA9,Bumula Ward,Bungoma County
sKD6tJgPfbh,Bwake/Luuya Ward,Bungoma County
iKvnghqTvSP,Cheptais Ward,Bungoma County
dnN8o6fbT5I,Chepyuk Ward,Bungoma County
laOitoZMUgC,Chesikaki Ward,Bungoma County
jhQaAr01YU5,East Sang'alo Ward,Bungoma County
zxfCOXaz1ha,Elgon Ward,Bungoma County
g9tqOcjTCbA,Kabuchai/Chwele Ward,Bungoma County
sIW2S02bdN0,Kabula Ward,Bungoma County
krBcnnShWw6,Kamukuywa Ward,Bungoma County
WIQaiUzKu6p,Kapkateny Ward,Bungoma County
X2TaEHQHj6z,Kaptama Ward,Bungoma County
AqsJZWunWRF,Khalaba Ward,Bungoma County
NuxGvo5cvb1,Khasoko Ward,Bungoma County
pxOm9J6SORx,Kibingei Ward,Bungoma County
bMDzJFxR86n,Kimaeti Ward,Bungoma County
E9RhI4J0cKC,Kimilili Ward,Bungoma County
nNiOxPPdyhk,Lwandanyi Ward,Bungoma County
ZZrtQfVb4kP,Maeni Ward,Bungoma County
ftbk97ko25V,Malakisi/South Kulisiru Ward,Bungoma County
chWsC9TTyF3,Maraka Ward,Bungoma County
thvW4MLkf3E,Marakaru/Tuuti Ward,Bungoma County
DfKdo0FepVq,Matulo Ward,Bungoma County
dqhHnPkEqDH,Mbakalo Ward,Bungoma County
frzFOocEhiu,Mihuu Ward,Bungoma County
ky9RthnIKqS,Milima Ward,Bungoma County
PyDYqhwBSoP,Misikhu Ward,Bungoma County
IVA8tzQOkNT,Mukuyuni Ward,Bungoma County
jmsoF18bsh0,Musikoma Ward,Bungoma County
AwkuNWBAvnV,Naitiri/Kabuyefwe Ward,Bungoma County
CenIfdVZZdC,Namwela Ward,Bungoma County
ZoZCpnAFcGo,Ndalu Ward,Bungoma County
WskHX9On3vR,Ndivisi Ward,Bungoma County
iKmwecDBqgX,Siboti Ward,Bungoma County
CYjWRY8PNTJ,Sitikho Ward,Bungoma County
kMwgldKtwou,South Bukusu Ward,Bungoma County
pc8868uNy8r,Soysambu/Mitua Ward,Bungoma County
Epj7vWxFyG0,Tongaren Ward,Bungoma County
ysCS3ZD38VF,Township Ward,Bungoma County
gJUwKJIUKEc,West Bukusu Ward,Bungoma County
gZqLcfKb6LQ,West Nalondo Ward,Bungoma County
uNCqGdTcjkh,West Sang'alo Ward,Bungoma County
soQ5zdUZi2H,Ageng'a Nanguba Ward,Busia County
VAOZFeKsbAT,Amukura Central Ward,Busia County
xPmSqaPoPFT,Amukura East Ward,Busia County
GcsaAX4B8x8,Amukura West Ward,Busia County
umi4GRQTwG0,Ang'orom Ward,Busia County
pVLJ4TYVNAR,Ang'urai East Ward,Busia County
oOa6cVAodY5,Ang'urai North Ward,Busia County
OSO67hxKiUf,Ang'urai South Ward,Busia County
i26gx3p4d5E,Bukhayo Central Ward,Busia County
ov8OgPXuR5N,Bukhayo East Ward,Busia County
YXM5WOeQkyO,Bukhayo North/Walatsi Ward,Busia County
xMPuIHmGdYe,Bukhayo West Ward,Busia County
L8VRh5JlUik,Bunyala Central Ward,Busia County
FrPqZ0quyrF,Bunyala North Ward,Busia County
BBkS40b5WG7,Bunyala South Ward,Busia County
XqcnCg0VZ7k,Bunyala West Ward,Busia County
Yk6G4ret1OC,Burumba Ward,Busia County
cgTC3oqgmKg,Busibwabo Ward,Busia County
fKK4JksHULe,Bwiri Ward,Busia County
rthnyPewuyf,Chakol North Ward,Busia County
Ksb8Prco66C,Chakol South Ward,Busia County
rIwgAyjb2JZ,Elugulu Ward,Busia County
uHJ0GgTgj0p,Kingandole Ward,Busia County
jvY4ig8JLYY,Malaba North Ward,Busia County
VG4qlKr4Z2A,Malaba South Ward,Busia County
UpSuhJyWAIc,Malaba central Ward,Busia County
vURFh88SwIe,Marachi Central Ward,Busia County
IS2J5mu8wNo,Marachi East Ward,Busia County
uHObeeBxuHY,Marachi North Ward,Busia County
